NoAb	NoD@ NA
TBP|ab62126|General transcription factor that functions at the core of the DNA-binding multiprotein factor TFIID. Binding of TFIID to the TATA box is the initial transcriptional step of the pre-initiation complex (PIC), playing a role in the activation of eukaryotic genes transcribed by RNA polymerase II. Component of the transcription factor SL1/TIF-IB complex, which is involved in the assembly of the PIC (preinitiation complex) during RNA polymerase I-dependent transcription.|Mouse monoclonal. Immunogen is synthetic peptide conjugated to KLH derived from within residues 1 - 100 of HumanTATA binding protein TBP. Antibody Target: TBP|CH12	Oth@ Tbp
MafK_(ab50322)|ab50322|NFE2 DNA-binding activity consists of a heterodimer containing an 18-kD Maf protein (MafF, MafG, or MafK) and p45. Both subunits are members of the activator protein-1 superfamily of basic leucine zipper (bZIP)proteins. Since they lack a putative transactivation domain, small Mafs behave as transcriptional repressors when they dimerize among themselves. They serve as transcriptional activators by dimerizing with other (usually larger) bZip proteins and recruiting them to specific DNA-binding sites.|Rabbit polyclonal. Raised against synthetic peptide: TTNPKPNKALKVKKEA conjugated to KLH by a C-terminal Cysteine residue linker, corresponding to amino acids 2-17 of Human MAFK. Antibody Target: MafK|CH12	Oth@ Mafk
p300_(SC-584)|sc-584|Encodes the adenovirus E1A-associated cellular p300 transcriptional co-activator protein. Functions as histone acetyltransferase and regulates transcription via chromatin remodeling. Acetylates all four core histones in nucleosomes. Mediates cAMP-gene regulation by binding specifically to phosphorylated CREB protein|Rabbit polyclonal IgG, epitope mapping at the N-terminus of p300 of human origin. Antibody Target: P300|MEL	Oth@ Ep300
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|CH12	Pol@ RNA Polymerase II
anti-GFP goat polyclonal|C2C12_GFP, GFP ChIP	Oth@ GFP
anti-GFP goat polyclonal|C2C12_NICDGFP, GFP ChIP	Oth@ GFP
anti-RBP-J 1F1 rat monoclonal|C2C12_GFP, RBP-J 1F1 ChIP	Oth@ Rbpj
anti-RBP-J 1F1 rat monoclonal|C2C12_NICDGFP, RBP-J 1F1 ChIP	Oth@ Rbpj
anti-p300 rabbit polyclonal|C2C12, DAPT 24h, p300 ChIP	Oth@ Ep300
anti-p300 rabbit polyclonal|C2C12, Delta 24h, p300 ChIP	Oth@ Ep300
anti-p300 rabbit polyclonal|C2C12, DAPT 6h, p300 ChIP	Oth@ Ep300
anti-p300 rabbit polyclonal|C2C12, Delta 6h, p300 ChIP	Oth@ Ep300
anti-RBP-J rabbit polyclonal|C2C12, DAPT 6h, RBP-J ChIP	Oth@ Rbpj
anti-RBP-J rabbit polyclonal|C2C12, Delta 6h, RBP-J ChIP	Oth@ Rbpj
none|C2C12, Delta 6h, ChIP input	InP@ Input control
none|Mouse embryonic day 11.5 (e11.5) neural tube, control	InP@ Input control
anti-FLAG Sigma- F1804  1mg/ml -Monoclonal ANTI-FLAG M2 antibody produced in mouse. Lot #: 088K6018|Mouse embryonic day 11.5 (e11.5) neural tube, FLAG-ChIP	Oth@ Epitope tags
none|Mouse embryonic day 11.5 (e11.5) limb, control	InP@ Input control
anti-FLAG Sigma- F1804  1mg/ml -Monoclonal ANTI-FLAG M2 antibody produced in mouse. Lot #: 088K6018|Mouse embryonic day 11.5 (e11.5) limb, FLAG-ChIP	Oth@ Epitope tags
none|Mouse embryonic day 11.5 (e11.5) forebrain, control	InP@ Input control
anti-FLAG Sigma- F1804  1mg/ml -Monoclonal ANTI-FLAG M2 antibody produced in mouse. Lot #: 088K6018|Mouse embryonic day 11.5 (e11.5) forebrain, FLAG-ChIP	Oth@ Epitope tags
anti-FLAG Sigma- F1804  1mg/ml -Monoclonal ANTI-FLAG M2 antibody produced in mouse. Lot #: 088K6018|Mouse embryonic day 11.5 (e11.5) face, FLAG-ChIP	Oth@ Epitope tags
H3K9me3 (Diagenode, pAb-056-050)|B cell enriched splenocytes from KAP1 KO mouse	His@ H3K9me3
H3K9me3 (Diagenode, pAb-056-050)|B cell enriched splenocytes	His@ H3K9me3
RBCC (Schultz et al. Genes Dev. 2001)|B cell enriched splenocytes from KAP1 KO mouse	Oth@ Trim28
RBCC (Schultz et al. Genes Dev. 2001)|B cell enriched splenocytes	Oth@ Trim28
anti-BMAL1 (Abcam; #ab3350-200; lot 805009)|Liver	Oth@ Arntl
anti-CLK (Novus Biological; #NB100-126; lot B1)|Liver	Oth@ Clock
JMJD3|neural stem cells	Oth@ Kdm6b
Smad3|neural stem cells	Oth@ Smad3
Wild type 3t3 pulled down with V5 antibody V5- Abcam (ab15828)|In-vitro cell culture of NIH_3T3 cell	Oth@ Epitope tags
V5 tagged Bapx1 over expressed in NIH_3T3 cells V5- Abcam (ab15828)|In-vitro cell culture of NIH_3T3 cell	Oth@ Nkx3-2
IgG|Embryonic day 12.5 vertebral column pulled down with IgG	InP@ Input control
Sox9 R&amp;D system (AF3075)|Embryonic day 12.5 vertebral column	Oth@ Sox9
S-pepetide in wild type embryo S-Pepetide - Bethyl laboratories (A-190-134A)|Embryonic day 12.5 vertebral column of wild type mice	Oth@ Epitope tags
S-peptide tagged Bapx1 S-Pepetide - Bethyl laboratories (A-190-134A)|Embryonic day 12.5 vertebral column	Oth@ Nkx3-2
M2 Flag-agarose beads|Bone marrow cells_flagCbx8_flagChIP	Oth@ Epitope tags
M2 Flag-agarose beads|Bone marrow cells_flagCbx7_flagChIP	Oth@ Epitope tags
M2 Flag-agarose beads|Bone marrow cells_empty vector_flagChIP	Oth@ Epitope tags
H3K4me3|Bone Marrow_H3K4me3	His@ H3K4me3
O-GlcNAc|Bone Marrow_OGlcNAc	Unc@ Unclassified
Tet2|Bone Marrow_Tet2	Oth@ Tet2
None|asynchrnous G1E-ER4+E2 cells	InP@ Input control
GATA1 (Santacruz,clone N6, sc-265)|asynchrnous G1E-ER4+E2 cells	Oth@ Gata1
None|mitotic G1E-ER4+E2 cells	InP@ Input control
GATA1 (Santacruz,clone N6, sc-265)|mitotic G1E-ER4+E2 cells	Oth@ Gata1
Brg1|Lab Generated (Crabtree) J1|Chromatin IP against Brg1	Oth@ Smarca4
H3K4me3|Abcam AB8550|Chromatin IP against H3K4me3	His@ H3K4me3
H3K9Ac,K14Ac|Upstate 06-599|Chromatin IP against H3K9,K14Ac	His@ H3K9ac
SA1|Bethyl A300-157A|Chromatin IP against SA1	Oth@ Stag1
SA2|Bethyl A300-158A|Chromatin IP against SA2	Oth@ Stag2
none|uterus	InP@ Input control
Anti-V5 Agarose Affinity Gel antibody produced in mouse purified    immunoglobulin, clone V5-10|V5-tagged REX1_ESCs	Oth@ Epitope tags
WT_ESCs	Unc@ Unclassified
anti-Flag antibody|ZHBTc4 F-Oct4_alpha-Oct4-SWGA	Oth@ Epitope tags
anti-Flag antibody|ZHBTc4 F-Oct4_input_IgG_control	Oth@ Epitope tags
Rev-erb(alpha)|Homogenized mouse liver, Rev-erb(alpha) KO, 5pm/ZT10, Rev-erb(alpha) ChIP	Oth@ Nr1d1
Rev-erb(beta)|Homogenized mouse liver, WT, 5am/ZT22, Rev-erb(beta) ChIP	Oth@ Nr1d2
Rev-erb(beta)|Homogenized mouse liver, WT, 5pm/ZT10, Rev-erb(beta) ChIP	Oth@ Nr1d2
H3K4me2|HPC H3K4me2 ChIPseq	His@ H3K4me2
H3K4me2|MEF H3K4me2 ChIPseq	His@ H3K4me2
H3K4me2|ESC H3K4me2 ChIPseq	His@ H3K4me2
H3K4me3|HPC H3K4me3 ChIPseq	His@ H3K4me3
H3K4me3|MEF H3K4me3 ChIPseq	His@ H3K4me3
H3K4me3|ESC H3K4me3 ChIPseq	His@ H3K4me3
H3K27me3|HPC H3K27me3 ChIPseq	His@ H3K27me3
H3K27me3|MEF H3K27me3 ChIPseq	His@ H3K27me3
H3K27me3|ESC H3K27me3 ChIPseq	His@ H3K27me3
MEF input DNA	InP@ Input control
ESC input DNA	InP@ Input control
CTCF (Millipore;  07-729 DAM1772428)|Neural progenitor cells	Oth@ Ctcf
Smc1 (Bethyl; A300-055A)|Neural progenitor cells	Oth@ Smc1a
anti-H4Ac (anti-acetyl-histone H4)|Unstimulated macrophages, Foxo3 knockout, H4Ac ChIP	His@ H4ac
anti-H4Ac (anti-acetyl-histone H4)|Unstimulated macrophages, wildtype, H4Ac ChIP	His@ H4ac
anti-Foxo3a (FKHRL1 (H-144))|Unstimulated macrophages, wildtype, Foxo3a ChIP	Oth@ Foxo3
H3K9me3|mESC E14 under Activin A differentiation, day 6	His@ H3K9me3
H3K4me3|mESC E14 under Activin A differentiation, day 6	His@ H3K4me3
H3K4me2|mESC E14 under Activin A differentiation, day 6	His@ H3K4me2
H3K4me1|mESC E14 under Activin A differentiation, day 6	His@ H3K4me1
H3K36me3|mESC E14 under Activin A differentiation, day 6	His@ H3K36me3
H3K27me3|mESC E14 under Activin A differentiation, day 6	His@ H3K27me3
H3K27ac|mESC E14 under Activin A differentiation, day 6	His@ H3K27ac
H2AZ|mESC E14 under Activin A differentiation, day 6	His@ H2A.Z
H3K9me3|mESC E14 under Activin A differentiation, day 4	His@ H3K9me3
H3K4me3|mESC E14 under Activin A differentiation, day 4	His@ H3K4me3
H3K4me2|mESC E14 under Activin A differentiation, day 4	His@ H3K4me2
H3K4me1|mESC E14 under Activin A differentiation, day 4	His@ H3K4me1
H3K36me3|mESC E14 under Activin A differentiation, day 4	His@ H3K36me3
H3K27me3|mESC E14 under Activin A differentiation, day 4	His@ H3K27me3
H3K27ac|mESC E14 under Activin A differentiation, day 4	His@ H3K27ac
H2AZ|mESC E14 under Activin A differentiation, day 4	His@ H2A.Z
H3K4me3|mouse embryonic stem cells (E14)	His@ H3K4me3
H3K4me2|mouse embryonic stem cells (E14)	His@ H3K4me2
H3K4me1|mouse embryonic stem cells (E14)	His@ H3K4me1
H3K36me3|mouse embryonic stem cells (E14)	His@ H3K36me3
H3K27me3|mouse embryonic stem cells (E14)	His@ H3K27me3
H3K27ac|mouse embryonic stem cells (E14)	His@ H3K27ac
H2AZ|mouse embryonic stem cells (E14)	His@ H2A.Z
IgG|mouse embryonic stem cells (E14)	InP@ Input control
TAF1|mouse embryonic stem cells (E14)	Oth@ Taf1
NIH-3T3_Input control	InP@ Input control
CTCF|NIH-3T3_CTCF_ChIPSeq	Oth@ Ctcf
H3K27me3|NIH-3T3_H3K27me3_ChIPSeq	His@ H3K27me3
H3K36me3|NIH-3T3_H3K36me3_ChIPSeq	His@ H3K36me3
H3K4me3|NIH-3T3_H3K4me3_ChIPSeq	His@ H3K4me3
anti-Nkx3.1 (Santa Cruz Biotechnology, sc-15022)|Nkx3-1_KO_ChIP-Seq	Oth@ Nkx3-1
H3K4me3; abcam; lot# GR37544-1; catalog# ab8580|splenic B cells	His@ H3K4me3
H3K4me2; millipore; lot# DAM1724042; catalog# 07-030|splenic B cells	His@ H3K4me2
NA|splenic B cells	InP@ Input control
Ebf1 (custom-made against murine Ebf1b)|splenic B cells	Oth@ Ebf1
anti-H3K27ac|embryonic hindlimb bud	His@ H3K27ac
none|embryonic hindlimb bud	InP@ Input control
anti-H3K27ac|embryonic forelimb bud	His@ H3K27ac
none|embryonic forelimb bud	InP@ Input control
IgG|sc-2027, lot number C0411|3T3-L1 differentiated TNF	InP@ Input control
p65|abcam 7970, lot number GR51446-1|3T3-L1 differentiated TNF	Oth@ Rela
G1ME cells	Unc@ Unclassified
anti-RAR|murine embryonic stem cells grown as embryoid bodies for 4 days and treated 24 hours with 5 micromolar all trans retinoic acid	Oth@ Rara
anti-RAR|murine embryonic stem cells grown as embryoid bodies for 4 days and treated 2 hours with 5 micromolar all trans retinoic acid	Oth@ Rara
Anti-H3K4me3 Millipore (#07-473)|Anti-H3K4me3 Spo11-/-_testis_ChIP-Seq	His@ H3K4me3
Anti-H3K4me3 Millipore (#07-473)|Anti-H3K4me3 Prdm9-/-_liver_ChIP-Seq	His@ H3K4me3
Anti-H3K4me3 Millipore (#07-473)|Anti-H3K4me3 Prdm9-/-_testis_ChIP-Seq	His@ H3K4me3
Anti-H3K4me3 Millipore (#07-473)|Anti-H3K4me3 9R_testis_ChIP-Seq	His@ H3K4me3
Anti-H3K4me3 Millipore (#07-473)|Anti-H3K4me3 13R_testis_ChIP-Seq	His@ H3K4me3
PPARalpha|C57BL/6 LXRdKO mouse liver	Oth@ Ppara
PPARalpha|C57BL/6 wild type mouse liver	Oth@ Ppara
none, input DNA|ES-cell derived erythroid progenitors	InP@ Input control
none|Cardiac progenitor cells, input	InP@ Input control
mm9ES_Vezf1 ko_Input	InP@ Input control
Anti-RNA polymerase II CTD repeat YSPTSPS (phospho S2) antibody|mm9ES_Vezf1_ko_RNA Polymerase 2 ChIP-Seq	Pol@ RNA Polymerase II
mm9ES_wt_Input DNA	InP@ Input control
Anti-RNA polymerase II CTD repeat YSPTSPS (phospho S2) antibody|mm9ES_wt_RNA Polymerase 2 ChIP-Seq	Pol@ RNA Polymerase II
H3K4me3|Pro-B_H3K4me3 ChIP-seq	His@ H3K4me3
H3R2me2sK4me3|Pro-B_H3R2me2sK4me3 ChIP-seq	His@ H3R2me2K4me3
H3R2me2s|Pro-B_H3R2me2s ChIP-seq	His@ H3R2me2
ChIP/ antibody against Tcf4|Transgenic Hepatocytes	Oth@ Tcf4
Tcf4 (mouse monoclonal, clone 6H5-3)|05-511|Transgenic Hepatocytes	Oth@ Tcf4
beta-catenin (mouse monoclonal, clone 14)|610154|Transgenic Hepatocytes	Oth@ Ctnnb1
Nkx2-5 (N-19)|WT_Nkx2-5_ChIP	Oth@ Nkx2-5
Gata4 (C-20)|WT_Gata4_ChIP	Oth@ Gata4
Tbx3 (A-20)|Myh6-MCM_control_Tbx3_ChIP	Oth@ Tbx3
Tbx3 (A-20)|Myh6-MCM;CAG-CAT-TBX3_Tbx3_ChIP	Oth@ Tbx3
IgG|E14_IgG_ChIPSeq	InP@ Input control
MacroH2A1 (Buschbeck et al, 2009, NSMB)|E14_MacroH2A_ChIPSeq	His@ macroH2A1
H3K27me3|leukemic spleen cells, secondary, Ezh2-null, H3K27me3 ChIP	His@ H3K27me3
H3K27me3|leukemic spleen cells, secondary, WT, H3K27me3 ChIP	His@ H3K27me3
H3K27me3|leukemic spleen cells, primary, Ezh2-null, H3K27me3 ChIP	His@ H3K27me3
H3K27me3|leukemic spleen cells, primary, WT, H3K27me3 ChIP	His@ H3K27me3
IgG control|MEF_STAT5-KO-empty-GH-IgG	InP@ Input control
anti-STAT5|MEF_STAT5-KO-empty-GH-IP	Oth@ Stat5a
IgG control|MEF_STAT5-KO-GH-IgG	InP@ Input control
anti-STAT5|MEF_STAT5-KO-GH-IP	Oth@ Stat5a
IgG control|MEF_STAT5-OE-GH-IgG	InP@ Input control
IgG control|MEF_STAT5-OE-IgG	InP@ Input control
IgG control|MEF_STAT5-WT-GH-IgG	InP@ Input control
anti-STAT5|MEF_STAT5-WT-GH-IP	Oth@ Stat5a
H2A.Z|E14 embryonic stem cells	His@ H2A.Z
5-hmC|E14 embryonic stem cells	Oth@ 5-hmC
H3K27ac|E14 embryonic stem cells	His@ H3K27ac
none (input)|T-ALL sonicated input	InP@ Input control
Notch1|T-ALL Notch1	Oth@ Notch1
none|Mouse uterus	InP@ Input control
PR|Mouse uterus epithelium	Oth@ Pgr
acetyl-H4 antibody|P19_NeuroD2_acetylH4_ChIP-seq	His@ H4ac
acetyl-H4 antibody|P19_control_acetylH4_ChIP-seq	His@ H4ac
two NEUROD2 antibodies raised in rabbits by our lab (1240J, 1168J)|MM_NeuroD2_ChIP-seq	Oth@ Neurod2
two MyoD antibody raised in rabbits by our lab (6196 and 6975) and previously described (Tapscott et al., 1988)|MM_MyoD_ChIP-seq	Oth@ Myod1
two MyoD antibody raised in rabbits by our lab (6196 and 6975) and previously described (Tapscott et al., 1988)|P19_MyoD_ChIP-seq	Oth@ Myod1
two NEUROD2 antibodies raised in rabbits by our lab (1240J, 1168J)|P19_NeuroD2_ChIP-seq	Oth@ Neurod2
preimmune serum|P19_preimmune serum_ChIP-seq	InP@ Input control
input|KH2 mES	InP@ Input control
custom ELL, see Lin et al. 2010 (Mol. Cell)|KH2 mES	Oth@ Ell
None|Mouse thymus	InP@ Input control
Active motif, 39133|Mouse thymus	His@ H3K27ac
Canvance, MMS-126R|Mouse thymus	Pol@ RNA Polymerase II
Millipore, 05-745|Mouse thymus	His@ H3K4me3
Abcam, ab8895|Mouse thymus	His@ H3K4me1
Kim et al., 2007|Mouse thymus	Unc@ Unclassified
None|Mouse testis	InP@ Input control
Active motif, 39133|Mouse testis	His@ H3K27ac
Canvance, MMS-126R|Mouse testis	Pol@ RNA Polymerase II
Millipore, 05-745|Mouse testis	His@ H3K4me3
Abcam, ab8895|Mouse testis	His@ H3K4me1
Kim et al., 2007|Mouse testis	Unc@ Unclassified
None|Mouse placenta	InP@ Input control
Active motif, 39133|Mouse placenta	His@ H3K27ac
Canvance, MMS-126R|Mouse placenta	Pol@ RNA Polymerase II
Millipore, 05-745|Mouse placenta	His@ H3K4me3
Abcam, ab8895|Mouse placenta	His@ H3K4me1
Kim et al., 2007|Mouse placenta	Unc@ Unclassified
None|Mouse olfactory bulb	InP@ Input control
Active motif, 39133|Mouse olfactory bulb	His@ H3K27ac
Canvance, MMS-126R|Mouse olfactory bulb	Pol@ RNA Polymerase II
Millipore, 05-745|Mouse olfactory bulb	His@ H3K4me3
Abcam, ab8895|Mouse olfactory bulb	His@ H3K4me1
Kim et al., 2007|Mouse olfactory bulb	Unc@ Unclassified
None|Mouse intestine	InP@ Input control
Active motif, 39133|Mouse intestine	His@ H3K27ac
Canvance, MMS-126R|Mouse intestine	Pol@ RNA Polymerase II
Millipore, 05-745|Mouse intestine	His@ H3K4me3
Abcam, ab8895|Mouse intestine	His@ H3K4me1
Kim et al., 2007|Mouse intestine	Unc@ Unclassified
None|Mouse E14.5 liver	InP@ Input control
Active motif, 39133|Mouse E14.5 liver	His@ H3K27ac
